"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"IN023550300" "TMIN" "1984" "3" NA NA NA "119" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1984" "10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "245" NA NA NA NA "187" NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1986" "3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "181" NA NA NA NA
"IN023550300" "TMIN" "1987" "2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "144" NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1996" "10" NA NA NA NA NA NA NA NA NA NA "201" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1997" "3" "108" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1999" "12" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "119" NA NA NA NA NA
"IN023550300" "TMIN" "2002" "4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "224" NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "2005" "3" NA NA NA NA NA "173" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "2009" "2" NA NA NA NA "97" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "2010" "8" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "253" NA NA NA NA NA NA NA
"IN023550300" "TMIN" "2010" "10" NA NA NA NA "232" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "2011" "2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "135" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "2011" "3" NA NA NA NA NA "153" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "2013" "4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "227" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "2015" "12" NA NA NA NA NA NA NA "150" "143" NA "156" "132" NA "94" "92" "73" "72" NA "85" "61" "74" "73" NA NA "76" "73" NA "94" "100" NA "99"
"IN023550300" "TMIN" "2016" "1" "98" "102" "92" "81" "94" "99" "105" "117" "141" "100" "94" "92" "94" "108" "106" "117" "85" "104" "120" "116" "105" "89" "47" "70" "62" "75" "86" "91" "102" "120" "146"
"IN023550300" "TMIN" "2016" "2" "146" "133" "106" "93" "89" "90" "120" "158" NA "117" "118" "116" "120" "138" "145" NA "145" "166" "172" NA NA "140" "127" "117" "125" "148" "175" "167" "169" NA NA
"IN023550300" "TMIN" "2016" "3" NA "151" "156" "171" "184" "192" "166" "171" NA NA "176" "191" NA "171" "151" "161" "154" "180" "198" "205" NA NA NA NA NA NA NA NA NA NA NA
