"sccs_id","slat","slon","focal_yr","plant1_start","plant1_end","plant2_start","plant2_end","plant3_start","plant3_end","plant4_start","plant4_end","ghcn1","lat1","lon1","elev1","ghcn2","lat2","lon2","elev2","ghcn3","lat3","lon3","elev3","ghcn4","lat4","lon4","elev4"
"112",16.79999924,121.1500015,1910,NA,NA,NA,NA,NA,NA,NA,NA,"RP000982230",18.183,120.533,5,"RP000098232",18.367,121.633,3,"RPC00914100",15.1833,120.55,144.8,"RPW00041207",15.1833,120.55,146.3
"116",37.63000107,126.4899979,1947,101,131,NA,NA,NA,NA,NA,NA,"KS000047112",37.467,126.633,70,"KSW00043274",37.5,126.7,21,"KSW00043201",37.55,126.8,20.1,"KSW00043244",37.7833,126.85,24.1
"117",34.50999832,133.9299927,1950,305,334,NA,NA,132,202,NA,NA,"JA000047768",34.667,133.917,18,"JA000047891",34.317,134.05,10,"JA000047890",34.283,133.75,5,"JA000047756",35.067,134.017,147
"118",42.52999878,142.0899963,1880,NA,NA,NA,NA,NA,NA,NA,NA,"JA000047424",42.617,141.55,11,"JAW00044401",42.8,141.65,27.1,"JA000047426",42.167,142.783,37,"JA000047413",43.217,141.783,51
"119",53.08000183,141.8999939,1980,NA,NA,NA,NA,NA,NA,NA,NA,"RSM00031436",52.7,141.3,5,"RSM00032014",53.57,142.5,5,"RSM00031369",53.15,140.7164,67,"RSM00032027",52.22,141.63,6
"121",66.94000244,-179.9199982,1900,NA,NA,NA,NA,NA,NA,NA,NA,"RSM00025372",67,-178.9,139,"RSM00025378",66.3497,-179.1,21,"RSM00025282",67.83,-175.8,3,"RSM00025173",68.9,-179.3669,2
"124",68.77999878,-114.8199997,1915,NA,NA,NA,NA,NA,NA,NA,NA,"CA002300555",68.7833,-114.8333,65,"CA002302680",68.5,-113.2167,16,"CA002300900",67.8333,-115.1167,9,"CA002300904",67.8167,-115.1333,23
"130",60.52999878,-145.7599945,1890,NA,NA,NA,NA,NA,NA,NA,NA,"USC00502179",60.5358,-145.778,3,"USC00502173",60.5561,-145.7531,7.6,"USC00506844",60.5833,-145.6833,-999.9,"USW00026410",60.4889,-145.4511,9.4
"131",54,-132.5,1875,NA,NA,NA,NA,NA,NA,NA,NA,"CA001054926",54.0333,-132.1833,12,"CA001054925",54,-132.1667,13,"CA001054920",54.0333,-132.1333,6,"CA0010549BN",54.0333,-132.0667,12
"132",52.40000153,-126.5999985,1880,NA,NA,NA,NA,NA,NA,NA,NA,"CA001060841",52.3833,-126.6,36,"CA001060840",52.3667,-126.6833,18,"CA001060842",52.3667,-126.8167,14,"CA001067776",52.3667,-126.0667,162
"138",42.02999878,-121.0400009,1860,NA,NA,NA,NA,NA,NA,NA,NA,"USC00041805",41.9333,-121.0667,1393.9,"USC00048521",41.8667,-120.95,1388.1,"USS0021G04S",42.2,-121.1333,1478.3,"USC00353232",42.205,-121.1314,1478.3
"141",47.34999847,-101.3799973,1836,NA,NA,NA,NA,NA,NA,NA,NA,"USC00328298",47.3167,-101.3833,519.1,"USC00328877",47.4333,-101.4,534,"USC00327585",47.4981,-101.375,602.6,"US1NDML0005",47.5012,-101.3729,601.4
"142",41.97999954,-99.98999786,1867,242,279,146,174,111,152,NA,NA,"USC00251130",41.9375,-99.8628,760.5,"USC00252485",41.8333,-100.0667,798.9,"US10blai011",41.8838,-100.174,0,"US10blai012",41.8194,-100.1071,0
