"GHCN_ID","Start_yr","End_yr","Yr_count","HofX","HofY","HofXY","HXofY","s","t","P","C","M","CbyP","MbyP","Mutual","GC","C_freedom","GM","M_freedom","GP","P_freedom"
"IS000051690",1951,2005,55,0.602059991327962,0.739610889829945,0.860472607998707,0.258412616670744,10,4,0.741587383329256,0.260389110170055,0.481198273159201,0.35112397543911,0.64887602456089,0.481198273159201,687.708649392205,9,211.727240190048,27,899.435889582253,36
"ISE00100485",1967,1977,11,0.602059991327962,0.794498128752918,0.876420489591452,0.274360498263489,10,4,0.725639501736511,0.205501871247082,0.520137630489429,0.283201053354042,0.716798946645958,0.520137630489429,132.711652853219,9,45.7721114830697,27,178.483764336289,36
"JA000047413",1951,2017,67,0.602059991327962,0.749944003698882,0.76634210369659,0.164282112368628,10,4,0.835717887631372,0.250055996301118,0.585661891330254,0.299211013670938,0.700788986329062,0.585661891330254,832.215623862208,9,313.914773753016,27,1146.13039761522,36
"JA000047424",1951,2017,67,0.602059991327962,0.727363469649993,0.744054353783688,0.141994362455726,10,4,0.858005637544274,0.272636530350007,0.585369107194267,0.317756106044161,0.682243893955839,0.585369107194267,844.318790112412,9,313.757841456127,27,1158.07663156854,36
"JA000047426",1951,2017,67,0.602059991327962,0.827419149797586,0.840482737309572,0.23842274598161,10,4,0.76157725401839,0.172580850202414,0.588996403815977,0.226609775031761,0.773390224968239,0.588996403815977,790.688945553302,9,315.702072445364,27,1106.39101799867,36
"JA000047756",1951,2017,67,0.602059991327962,0.746146159389076,0.80215281431179,0.200092822983827,10,4,0.799907177016173,0.253853840610924,0.546053336405248,0.317354122959434,0.682645877040566,0.546053336405248,834.251268412264,9,292.684588313213,27,1126.93585672548,36
"JA000047768",1951,2017,67,0.602059991327962,0.74032838820179,0.768276473027078,0.166216481699115,10,4,0.833783518300885,0.25967161179821,0.574111906502675,0.311437688678925,0.688562311321075,0.574111906502675,837.369593768649,9,307.723981885434,27,1145.09357565408,36
"JA000047890",1951,2017,67,0.602059991327962,0.777289764222034,0.792820382215958,0.190760390887995,10,4,0.809239609112005,0.222710235777966,0.586529373334039,0.275209262213883,0.724790737786117,0.586529373334039,817.558296221798,9,314.379744107045,27,1131.93804032884,36
"JA000047891",1951,2017,67,0.602059991327962,0.744085754367007,0.77721904540161,0.175159054073648,10,4,0.824840945926352,0.255914245632993,0.568926700293359,0.310258901303189,0.689741098696811,0.568926700293359,835.355645504093,9,304.94471135724,27,1140.30035686133,36
"KS000047112",1949,2017,69,0.602059991327962,0.7026420102929,0.798419000794696,0.196359009466733,10,4,0.803640990533267,0.2973579897071,0.506283000826167,0.370013467717449,0.62998653228255,0.506283000826167,883.168581651032,9,279.468216456044,27,1162.63679810708,36
"KSW00043201",1949,1960,12,0.602059991327962,0.713483008120319,0.837805135308029,0.235745143980067,10,4,0.764254856019933,0.286516991879681,0.477737864140252,0.374897182036627,0.625102817963373,0.477737864140252,152.553800147878,9,45.8628349574642,27,198.416635105342,36
"KT000096995",1972,2014,43,0.602059991327962,0.327552518545267,0.79088181116095,0.188821819832988,10,4,0.811178180167012,0.672447481454733,0.13873069871228,0.828976293859733,0.171023706140267,0.13873069871228,679.41120561038,9,47.7233603570242,27,727.134565967404,36
"KU000405820",1958,2017,60,0.602059991327962,0.715880333744121,0.856025316306747,0.253965324978784,10,4,0.746034675021216,0.284119666255879,0.461915008765336,0.380839759556484,0.619160240443516,0.461915008765336,761.618284439964,9,221.719204207361,27,983.337488647325,36
"KZ000035925",1946,2017,72,0.602059991327962,0.701802508911761,0.864340814060097,0.262280822732134,10,4,0.737719177267866,0.298197491088239,0.439521686179627,0.404215452541996,0.595784547458004,0.439521686179627,922.050768431396,9,253.164491239465,27,1175.21525967086,36
"LY000062271",1956,2016,61,0.602059991327962,0.705853892793468,0.851299406418654,0.249239415090692,10,4,0.750760584909308,0.294146107206532,0.456614477702776,0.39179748260501,0.60820251739499,0.456614477702776,779.204825697882,9,222.827865118955,27,1002.03269081684,36
"MG000044218",1959,2017,59,0.602059991327962,0.70216675525236,0.854658211173682,0.25259821984572,10,4,0.74740178015428,0.29783324474764,0.44956853540664,0.398491484307356,0.601508515692644,0.449568535406641,755.397455414075,9,212.196348711934,27,967.59380412601,36
"MG000044231",1956,2017,62,0.602059991327962,0.640551339006496,0.800980656773056,0.198920665445094,10,4,0.801079334554906,0.359448660993504,0.441630673561402,0.448705447124311,0.55129455287569,0.441630673561402,824.368741977825,9,219.048814086455,27,1043.41755606428,36
"MG000044272",1956,2017,62,0.602059991327962,0.66053827419573,0.82403832933241,0.221978338004448,10,4,0.778021661995552,0.33946172580427,0.438559936191282,0.436313977342974,0.563686022657026,0.438559936191282,814.455222123965,9,217.525728350876,27,1031.98095047484,36
"ML000061223",1957,2012,56,0.602059991327962,0.742401113943858,0.9630295670101,0.360969575682138,10,4,0.639030424317862,0.257598886056142,0.38143153826172,0.403108954211558,0.596891045788442,0.38143153826172,698.962422614484,9,170.881329141251,27,869.843751755735,36
"MOE00147755",1910,2017,108,0.602059991327962,0.711536217706046,0.811996486555374,0.209936495227412,10,4,0.790063504772588,0.288463782293954,0.501599722478634,0.365114678189047,0.634885321810953,0.501599722478634,1374.66622824883,9,433.38216022154,27,1808.04838847037,36
"MX000020014",1948,1984,37,0.602059991327962,0.623508122454864,0.928188130212186,0.326128138884224,10,4,0.673871861115776,0.376491877545136,0.29737998357064,0.558699508422495,0.441300491577505,0.29737998357064,497.006783279598,9,88.0244751369095,27,585.031258416507,36
"MX000020152",1957,1984,28,0.602059991327962,0.546453588962994,0.774192208863838,0.172132217535875,10,4,0.827867782464125,0.453546411037006,0.374321371427118,0.547848848142198,0.452151151857802,0.374321371427118,393.373456902956,9,83.8479871996745,27,477.22144410263,36
